Satellite,Ocean,Date,Value,Decimal_Date
TOPEX,Andaman Sea,1992-12-17,-10.34,1992.9617486338798
TOPEX,Arabian Sea,1992-12-17,-18.46,1992.9617486338798
TOPEX,Atlantic Ocean,1992-12-17,-15.41,1992.9617486338798
TOPEX,Baltic Sea,1992-12-17,196.85,1992.9617486338798
TOPEX,Bay Bengal,1992-12-17,3.27,1992.9617486338798
TOPEX,Caribbean Sea,1992-12-17,-13.58,1992.9617486338798
TOPEX,Gulf Mexico,1992-12-17,-3.95,1992.9617486338798
TOPEX,Indian Ocean,1992-12-17,-27.63,1992.9617486338798
TOPEX,Indonesian,1992-12-17,-3.09,1992.9617486338798
TOPEX,Mediterranean,1992-12-17,39.02,1992.9617486338798
TOPEX,Nino,1992-12-17,-3.13,1992.9617486338798
TOPEX,North Pacific,1992-12-17,19.59,1992.9617486338798
TOPEX,North Sea,1992-12-17,44.01,1992.9617486338798
TOPEX,Pacific Ocean,1992-12-17,-14.88,1992.9617486338798
TOPEX,Persian Gulf,1992-12-17,134.53,1992.9617486338798
TOPEX,Sea Japan,1992-12-17,-46.65,1992.9617486338798
TOPEX,Sea Okhotsk,1992-12-17,-4.39,1992.9617486338798
TOPEX,South China,1992-12-17,-4.6,1992.9617486338798
TOPEX,Southern Ocean,1992-12-17,-24.43,1992.9617486338798
TOPEX,Tropics,1992-12-17,-19.64,1992.9617486338798
TOPEX,World,1992-12-17,-15.95,1992.9617486338798
TOPEX,Yellow Sea,1992-12-17,-70.61,1992.9617486338798
TOPEX,Adriatic Sea,1992-12-18,9.19,1992.964480874317
TOPEX,Bering Sea,1992-12-18,-5.35,1992.964480874317
TOPEX,North Atlantic,1992-12-18,-0.23,1992.964480874317
TOPEX,Andaman Sea,1992-12-26,-2.64,1992.9863387978141
TOPEX,Baltic Sea,1992-12-26,228.05,1992.9863387978141
TOPEX,Bay Bengal,1992-12-26,11.67,1992.9863387978141
TOPEX,Mediterranean,1992-12-26,-12.98,1992.9863387978141
TOPEX,North Sea,1992-12-26,63.31,1992.9863387978141
TOPEX,Persian Gulf,1992-12-26,112.23,1992.9863387978141
TOPEX,Sea Japan,1992-12-26,-23.05,1992.9863387978141
TOPEX,Sea Okhotsk,1992-12-26,-38.09,1992.9863387978141
TOPEX,South China,1992-12-26,-15.9,1992.9863387978141
TOPEX,Arabian Sea,1992-12-27,8.14,1992.9890710382513
TOPEX,Atlantic Ocean,1992-12-27,-10.31,1992.9890710382513
TOPEX,Bering Sea,1992-12-27,-30.85,1992.9890710382513
TOPEX,Caribbean Sea,1992-12-27,-2.48,1992.9890710382513
TOPEX,Gulf Mexico,1992-12-27,-13.75,1992.9890710382513
TOPEX,Indian Ocean,1992-12-27,-10.03,1992.9890710382513
TOPEX,Indonesian,1992-12-27,3.81,1992.9890710382513
TOPEX,Nino,1992-12-27,-8.93,1992.9890710382513
TOPEX,North Atlantic,1992-12-27,-0.53,1992.9890710382513
TOPEX,North Pacific,1992-12-27,-8.31,1992.9890710382513
TOPEX,Pacific Ocean,1992-12-27,-27.18,1992.9890710382513
TOPEX,Southern Ocean,1992-12-27,-16.73,1992.9890710382513
TOPEX,Tropics,1992-12-27,-22.34,1992.9890710382513
