,Unit,Value,Year,Month,Numeric_date
0,Parts Per Million,315.7,1958.0,3.0,1958.25
1,Parts Per Million,317.45,1958.0,4.0,1958.3333333333333
2,Parts Per Million,317.51,1958.0,5.0,1958.4166666666667
3,Parts Per Million,317.24,1958.0,6.0,1958.5
4,Parts Per Million,315.86,1958.0,7.0,1958.5833333333333
5,Parts Per Million,314.93,1958.0,8.0,1958.6666666666667
6,Parts Per Million,313.2,1958.0,9.0,1958.75
7,Parts Per Million,312.43,1958.0,10.0,1958.8333333333333
8,Parts Per Million,313.33,1958.0,11.0,1958.9166666666667
9,Parts Per Million,314.67,1958.0,12.0,1959.0
10,Parts Per Million,315.58,1959.0,1.0,1959.0833333333333
11,Parts Per Million,316.48,1959.0,2.0,1959.1666666666667
12,Parts Per Million,316.65,1959.0,3.0,1959.25
14,Parts Per Million,317.72,1959.0,4.0,1959.3333333333333
16,Parts Per Million,318.29,1959.0,5.0,1959.4166666666667
18,Parts Per Million,318.15,1959.0,6.0,1959.5
20,Parts Per Million,316.54,1959.0,7.0,1959.5833333333333
22,Parts Per Million,314.8,1959.0,8.0,1959.6666666666667
24,Parts Per Million,313.84,1959.0,9.0,1959.75
26,Parts Per Million,313.33,1959.0,10.0,1959.8333333333333
28,Parts Per Million,314.81,1959.0,11.0,1959.9166666666667
30,Parts Per Million,315.58,1959.0,12.0,1960.0
32,Parts Per Million,316.43,1960.0,1.0,1960.0833333333333
34,Parts Per Million,316.98,1960.0,2.0,1960.1666666666667
36,Parts Per Million,317.58,1960.0,3.0,1960.25
38,Parts Per Million,319.03,1960.0,4.0,1960.3333333333333
40,Parts Per Million,320.04,1960.0,5.0,1960.4166666666667
42,Parts Per Million,319.59,1960.0,6.0,1960.5
44,Parts Per Million,318.18,1960.0,7.0,1960.5833333333333
46,Parts Per Million,315.9,1960.0,8.0,1960.6666666666667
48,Parts Per Million,314.17,1960.0,9.0,1960.75
50,Parts Per Million,313.83,1960.0,10.0,1960.8333333333333
52,Parts Per Million,315.0,1960.0,11.0,1960.9166666666667
54,Parts Per Million,316.19,1960.0,12.0,1961.0
56,Parts Per Million,316.89,1961.0,1.0,1961.0833333333333
58,Parts Per Million,317.7,1961.0,2.0,1961.1666666666667
60,Parts Per Million,318.54,1961.0,3.0,1961.25
62,Parts Per Million,319.48,1961.0,4.0,1961.3333333333333
64,Parts Per Million,320.58,1961.0,5.0,1961.4166666666667
66,Parts Per Million,319.77,1961.0,6.0,1961.5
68,Parts Per Million,318.57,1961.0,7.0,1961.5833333333333
70,Parts Per Million,316.79,1961.0,8.0,1961.6666666666667
72,Parts Per Million,314.99,1961.0,9.0,1961.75
74,Parts Per Million,315.31,1961.0,10.0,1961.8333333333333
76,Parts Per Million,316.1,1961.0,11.0,1961.9166666666667
78,Parts Per Million,317.01,1961.0,12.0,1962.0
80,Parts Per Million,317.94,1962.0,1.0,1962.0833333333333
82,Parts Per Million,318.55,1962.0,2.0,1962.1666666666667
84,Parts Per Million,319.68,1962.0,3.0,1962.25
86,Parts Per Million,320.57,1962.0,4.0,1962.3333333333333
88,Parts Per Million,321.02,1962.0,5.0,1962.4166666666667
90,Parts Per Million,320.62,1962.0,6.0,1962.5
92,Parts Per Million,319.61,1962.0,7.0,1962.5833333333333
94,Parts Per Million,317.4,1962.0,8.0,1962.6666666666667
96,Parts Per Million,316.25,1962.0,9.0,1962.75
98,Parts Per Million,315.42,1962.0,10.0,1962.8333333333333
100,Parts Per Million,316.69,1962.0,11.0,1962.9166666666667
102,Parts Per Million,317.7,1962.0,12.0,1963.0
104,Parts Per Million,318.74,1963.0,1.0,1963.0833333333333
106,Parts Per Million,319.07,1963.0,2.0,1963.1666666666667
108,Parts Per Million,319.86,1963.0,3.0,1963.25
110,Parts Per Million,321.38,1963.0,4.0,1963.3333333333333
112,Parts Per Million,322.25,1963.0,5.0,1963.4166666666667
114,Parts Per Million,321.48,1963.0,6.0,1963.5
116,Parts Per Million,319.74,1963.0,7.0,1963.5833333333333
118,Parts Per Million,317.77,1963.0,8.0,1963.6666666666667
120,Parts Per Million,316.21,1963.0,9.0,1963.75
122,Parts Per Million,315.99,1963.0,10.0,1963.8333333333333
124,Parts Per Million,317.07,1963.0,11.0,1963.9166666666667
126,Parts Per Million,318.35,1963.0,12.0,1964.0
128,Parts Per Million,319.57,1964.0,1.0,1964.0833333333333
130,Parts Per Million,320.01,1964.0,2.0,1964.1666666666667
132,Parts Per Million,320.74,1964.0,3.0,1964.25
134,Parts Per Million,321.84,1964.0,4.0,1964.3333333333333
136,Parts Per Million,322.26,1964.0,5.0,1964.4166666666667
138,Parts Per Million,321.89,1964.0,6.0,1964.5
140,Parts Per Million,320.44,1964.0,7.0,1964.5833333333333
142,Parts Per Million,318.69,1964.0,8.0,1964.6666666666667
144,Parts Per Million,316.7,1964.0,9.0,1964.75
146,Parts Per Million,316.87,1964.0,10.0,1964.8333333333333
148,Parts Per Million,317.68,1964.0,11.0,1964.9166666666667
150,Parts Per Million,318.71,1964.0,12.0,1965.0
152,Parts Per Million,319.44,1965.0,1.0,1965.0833333333333
154,Parts Per Million,320.44,1965.0,2.0,1965.1666666666667
156,Parts Per Million,320.89,1965.0,3.0,1965.25
158,Parts Per Million,322.14,1965.0,4.0,1965.3333333333333
160,Parts Per Million,322.17,1965.0,5.0,1965.4166666666667
162,Parts Per Million,321.87,1965.0,6.0,1965.5
164,Parts Per Million,321.21,1965.0,7.0,1965.5833333333333
166,Parts Per Million,318.87,1965.0,8.0,1965.6666666666667
168,Parts Per Million,317.81,1965.0,9.0,1965.75
170,Parts Per Million,317.3,1965.0,10.0,1965.8333333333333
172,Parts Per Million,318.87,1965.0,11.0,1965.9166666666667
174,Parts Per Million,319.42,1965.0,12.0,1966.0
176,Parts Per Million,320.62,1966.0,1.0,1966.0833333333333
178,Parts Per Million,321.6,1966.0,2.0,1966.1666666666667
180,Parts Per Million,322.39,1966.0,3.0,1966.25
182,Parts Per Million,323.7,1966.0,4.0,1966.3333333333333
184,Parts Per Million,324.08,1966.0,5.0,1966.4166666666667
186,Parts Per Million,323.75,1966.0,6.0,1966.5
188,Parts Per Million,322.38,1966.0,7.0,1966.5833333333333
190,Parts Per Million,320.36,1966.0,8.0,1966.6666666666667
192,Parts Per Million,318.64,1966.0,9.0,1966.75
194,Parts Per Million,318.1,1966.0,10.0,1966.8333333333333
196,Parts Per Million,319.78,1966.0,11.0,1966.9166666666667
198,Parts Per Million,321.03,1966.0,12.0,1967.0
200,Parts Per Million,322.33,1967.0,1.0,1967.0833333333333
202,Parts Per Million,322.5,1967.0,2.0,1967.1666666666667
204,Parts Per Million,323.04,1967.0,3.0,1967.25
206,Parts Per Million,324.42,1967.0,4.0,1967.3333333333333
208,Parts Per Million,325.0,1967.0,5.0,1967.4166666666667
210,Parts Per Million,324.09,1967.0,6.0,1967.5
212,Parts Per Million,322.54,1967.0,7.0,1967.5833333333333
214,Parts Per Million,320.92,1967.0,8.0,1967.6666666666667
216,Parts Per Million,319.25,1967.0,9.0,1967.75
218,Parts Per Million,319.39,1967.0,10.0,1967.8333333333333
220,Parts Per Million,320.73,1967.0,11.0,1967.9166666666667
222,Parts Per Million,321.96,1967.0,12.0,1968.0
224,Parts Per Million,322.57,1968.0,1.0,1968.0833333333333
226,Parts Per Million,323.15,1968.0,2.0,1968.1666666666667
228,Parts Per Million,323.89,1968.0,3.0,1968.25
230,Parts Per Million,325.02,1968.0,4.0,1968.3333333333333
232,Parts Per Million,325.57,1968.0,5.0,1968.4166666666667
234,Parts Per Million,325.36,1968.0,6.0,1968.5
236,Parts Per Million,324.14,1968.0,7.0,1968.5833333333333
238,Parts Per Million,322.11,1968.0,8.0,1968.6666666666667
240,Parts Per Million,320.33,1968.0,9.0,1968.75
242,Parts Per Million,320.25,1968.0,10.0,1968.8333333333333
244,Parts Per Million,321.32,1968.0,11.0,1968.9166666666667
246,Parts Per Million,322.89,1968.0,12.0,1969.0
248,Parts Per Million,324.0,1969.0,1.0,1969.0833333333333
250,Parts Per Million,324.42,1969.0,2.0,1969.1666666666667
252,Parts Per Million,325.63,1969.0,3.0,1969.25
254,Parts Per Million,326.66,1969.0,4.0,1969.3333333333333
256,Parts Per Million,327.38,1969.0,5.0,1969.4166666666667
258,Parts Per Million,326.71,1969.0,6.0,1969.5
260,Parts Per Million,325.88,1969.0,7.0,1969.5833333333333
262,Parts Per Million,323.66,1969.0,8.0,1969.6666666666667
264,Parts Per Million,322.38,1969.0,9.0,1969.75
266,Parts Per Million,321.78,1969.0,10.0,1969.8333333333333
268,Parts Per Million,322.86,1969.0,11.0,1969.9166666666667
270,Parts Per Million,324.12,1969.0,12.0,1970.0
272,Parts Per Million,325.06,1970.0,1.0,1970.0833333333333
274,Parts Per Million,325.98,1970.0,2.0,1970.1666666666667
276,Parts Per Million,326.93,1970.0,3.0,1970.25
278,Parts Per Million,328.13,1970.0,4.0,1970.3333333333333
280,Parts Per Million,328.08,1970.0,5.0,1970.4166666666667
282,Parts Per Million,327.67,1970.0,6.0,1970.5
284,Parts Per Million,326.34,1970.0,7.0,1970.5833333333333
286,Parts Per Million,324.69,1970.0,8.0,1970.6666666666667
288,Parts Per Million,323.1,1970.0,9.0,1970.75
290,Parts Per Million,323.06,1970.0,10.0,1970.8333333333333
292,Parts Per Million,324.01,1970.0,11.0,1970.9166666666667
294,Parts Per Million,325.13,1970.0,12.0,1971.0
296,Parts Per Million,326.17,1971.0,1.0,1971.0833333333333
298,Parts Per Million,326.68,1971.0,2.0,1971.1666666666667
