,Numeric_date,Value
0,13.3,276.75
1,29.5,277.88
2,56.0,277.38
3,104.5,277.51
4,136.0,278.13
5,168.2,280.05
6,202.5,280.72
7,227.9,281.49
8,274.2,280.13
9,302.4,279.83
10,329.2,278.92
11,364.6,277.05
12,428.4,276.91
13,461.2,276.72
14,499.8,276.36
15,536.7,276.0
16,572.0,277.56
17,595.6,276.9
18,632.0,278.25
19,667.9,279.39
20,698.4,279.7
21,729.7,278.53
22,764.5,278.53
23,799.2,278.55
24,857.3,279.34
25,897.4,278.91
26,944.2,279.12
27,968.2,278.46
28,1005.0,280.5
29,1025.2,280.83
30,1058.0,282.76
31,1105.4,282.75
32,1159.6,283.88
33,1207.4,283.6
34,1257.6,282.11
35,1275.8,281.13
36,1306.5,281.5
37,1349.7,280.06
38,1411.2,279.62
39,1429.3,279.54
40,1431.0,282.52
41,1560.4,281.75
42,1588.3,281.03
43,1610.4,271.83
44,1628.9,274.5
45,1640.1,276.62
46,1689.6,276.25
47,1722.8,276.94
48,1734.1,278.23
49,1742.7,276.74
50,1752.0,276.39
51,1763.5,276.32
52,1773.7,277.78
53,1780.6,276.78
54,1794.4,281.54
55,1799.6,281.15
56,1814.2,284.34
57,1826.2,281.28
58,1834.5,283.73
59,1838.0,284.07
60,1844.0,286.5
61,1846.0,283.3
62,1846.0,284.96
63,1849.0,287.73
64,1852.3,288.57
65,1854.0,287.03
66,1859.0,286.48
67,1864.0,285.41
68,1867.0,285.22
69,1869.1,287.69
70,1873.0,287.17
71,1874.0,290.52
72,1884.0,289.81
73,1884.3,289.01
74,1886.0,290.62
75,1889.0,291.52
76,1889.0,292.23
77,1894.0,293.84
78,1896.0,298.16
79,1899.0,296.0
80,1899.0,296.21
81,1902.0,295.68
82,1902.0,294.96
83,1904.0,295.12
84,1909.0,300.45
85,1911.5,298.39
86,1914.0,300.02
87,1914.0,300.69
88,1918.6,303.27
89,1919.0,303.55
90,1923.0,303.2
91,1923.6,305.2
92,1928.8,307.77
93,1929.0,305.72
94,1933.0,307.21
95,1934.5,307.82
96,1936.5,308.99
97,1938.0,309.56
98,1939.0,310.94
99,1940.0,311.9
100,1941.0,310.7
101,1941.5,310.3
102,1942.0,310.95
103,1942.0,311.63
104,1943.0,310.51
105,1943.0,311.03
106,1944.0,311.36
107,1944.0,312.14
108,1944.0,311.29
109,1945.0,309.75
110,1946.0,311.46
111,1947.0,310.8
112,1947.0,309.98
113,1947.0,311.46
114,1948.0,310.47
115,1949.0,311.15
116,1950.0,312.55
117,1953.0,312.06
118,1954.0,311.68
119,1955.0,313.49
120,1955.0,313.8
121,1957.0,314.04
122,1959.5,315.81
123,1960.5,316.68
124,1961.5,317.38
125,1962.5,318.04
126,1963.5,318.65
127,1964.5,319.16
128,1965.5,319.72
129,1966.5,321.06
130,1967.5,321.75
131,1968.5,322.53
132,1969.5,323.87
133,1970.5,325.0
134,1971.5,325.72
135,1972.5,326.74
136,1973.5,328.65
137,1974.5,329.36
138,1975.5,330.34
139,1976.5,331.4
140,1977.5,332.97
141,1978.5,334.61
142,1979.5,335.94
143,1980.5,337.85
144,1981.5,339.11
145,1982.5,340.28
146,1983.5,341.98
147,1984.5,343.48
148,1985.5,344.77
149,1986.5,346.16
150,1987.5,347.85
151,1988.5,350.04
152,1989.5,351.56
153,1990.5,352.84
154,1991.5,354.24
155,1992.5,355.18
156,1993.5,355.97
157,1994.5,357.58
158,1995.5,359.52
159,1996.5,361.26
160,1997.5,362.43
161,1998.5,365.14
162,1999.5,366.96
163,2000.5,368.25
164,2001.5,369.65
165,2002.5,371.87
166,2003.5,374.22
167,2004.5,376.01
168,2005.5,378.16
169,2006.5,380.2
170,2007.5,382.07
171,2008.5,383.99
172,2009.5,385.74
173,2010.5,388.0
174,2011.5,389.85
175,2012.5,392.02
176,2013.5,394.78
177,2014.5,396.89
178,2015.5,399.19
179,2016.5,402.41
180,2017.5,404.54
181,2018.5,406.9
182,2019.5,409.53
183,2020.5,411.99
184,2021.5,414.1
